,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
1,[CH1+]1CCCC1,807.1929624,289.48,90.49,123.18,152.06,175.99,212.43,238.66,278.43,1,2,0.693147181
2,[CH1+]1CCCCC1,766.6676136,317.31,110.68,149.33,184.15,213.45,258.58,291.23,340.66,1,2,0.693147181
3,[CH2+]CC,841.0221837,242.18,69.44,88.33,105.82,120.8,144.54,162.45,191.09,1,6,1.791759469
4,C#C[C+](C#C)C,1291.749949,333.77,104.27,125.47,142.61,156.54,177.93,193.72,218.42,1,6,1.791759469
5,C#C[C+](C#C)C#C,1591.171506,333.03,114.86,134.66,149.04,160.04,176.32,188.08,206.4,1,6,1.791759469
6,C#C[C+](C)C,1001.048392,324.59,96.09,117.91,137.36,153.91,180.12,199.78,230.68,1,18,2.890371758
7,C#C[C+](C)C#C,1293.669949,320.86,111.16,121.3,138.45,152.37,173.77,189.56,214.26,1,6,1.791759469
8,C#C[C+](C)C=C,1070.232849,348.26,109.22,134.66,156.75,175.18,203.68,224.6,256.99,1,3,1.098612289
9,C#C[C+](C)C=CC,1003.449436,391.3,137.28,165.74,191.64,213.91,249.16,275.41,316.28,2,9,1.504077397
10,C#C[C+](C=C)(C=C),1143.617305,358.53,130.13,160.25,184.26,203.35,231.97,252.7,284.73,1,2,0.693147181
11,C#C[C+](C=C)C=CC,1075.111956,403.9,154.03,189.31,218.62,242.32,278.18,304.24,344.43,2,3,0.405465108
12,C#C[C+]=C,1270.113546,277.19,73.8,85.85,95.23,102.76,114.5,123.36,137.51,1,1,0
13,C#C[CH1+]C,1090.953741,291.95,76.98,92.61,106.37,118.02,136.47,150.37,172.35,1,3,1.098612289
14,C#C[CH1+]C#C,1377.255298,296.09,84.32,99.29,110.86,119.99,133.8,143.95,159.89,1,2,0.693147181
15,C#C[CH1+]C=C,1142.818197,299.25,87.95,107.71,124.47,138.25,159.31,174.69,198.64,1,1,0
16,C#C[CH1+]C=CC,1064.652849,341.98,110.38,135.08,156.89,175.25,203.84,224.9,257.58,2,3,0.405465108
17,C#C[CH1+]CC,1055.838392,338.94,99.47,120.87,139.87,156.04,181.71,201.03,231.42,1,3,1.098612289
18,C(C)(C)(C)[CH1+]C(C)C,622.1874398,441.69,196.03,243.81,287.64,324.81,381.76,423.03,487.02,1,729,6.591673732
19,C[C+](C)(C),713.8168349,305.84,86.9,110.07,132.05,151.3,182.34,205.87,242.96,1,162,5.087596335
20,C[C+](C)C(C)C,648.2161374,393.01,136.98,170.71,202.18,229.6,273.79,307.37,360.43,1,162,5.087596335
21,C[C+](C)C(C)CC(C)C,568.240091,513.38,216.92,266.42,313.19,354.06,419.49,468.35,542.9,2,486,5.493061443
22,C[C+](C)C=C,788.2212915,328.12,99.19,125.96,150.62,171.83,205.34,230.3,269.31,1,18,2.890371758
23,C[C+](C)CC,682.8314861,368.87,109.33,137.81,164.83,188.48,226.59,255.47,301.14,1,54,3.988984047
24,C[C+](C)CC(C)(C)CC,567.860091,491.36,219.04,271.86,320.48,361.85,425.9,472.51,543.76,1,486,6.186208624
25,C[C+](C)CC(C)C,623.2407886,418.39,163.32,205.19,242.95,274.98,325.36,363.04,421.96,1,162,5.087596335
26,C[C+](C)CCC,656.6961374,389.91,143.36,175.01,205.14,231.85,275.42,308.72,361.6,1,54,3.988984047
27,C[C+](C)CCCC,628.2807886,443.57,166.57,206.01,241.89,272.99,323.09,361.21,421.56,1,54,3.988984047
28,C[C+]=C,986.6319891,270.27,69.48,82.98,94.9,105.09,121.52,134.13,154.27,1,3,1.098612289
29,C[C+]1CCCCC1,669.2322648,345.05,130.44,174.76,214.89,248.78,301.17,339.34,397.75,1,6,1.791759469
30,C[CH1+]C,809.8821837,256.55,73.21,91.18,108.07,122.8,146.53,164.52,192.9,1,18,2.890371758
31,C[CH1+]C#CC,991.188392,349.2,99.99,120.66,139.78,156.41,183.14,203.29,234.78,1,4,1.386294361
32,C[CH1+]C(C)CC(C)(C)C,596.410091,451.85,215.45,275.59,328.76,372.83,438.84,485.08,553.32,2,729,5.898526551
33,C[CH1+]C(C)CC(C)(C)CC,576.8347423,507.64,238.53,301.65,358.74,407.17,481.34,533.54,610.04,2,243,4.799914263
34,C[CH1+]CC,774.9968349,333.06,94.51,115.18,135.66,153.89,183.63,206.44,242.89,1,9,2.197224577
35,C[CH1+]CCC,742.4814861,354.75,119.57,149.45,176.18,198.78,234.49,261.49,304.48,1,9,2.197224577
36,C[CH1+]CCCC,712.6561374,399.16,142.32,179.31,212.85,240.94,284.14,315.93,365.78,1,9,2.197224577
37,C[CH1+]CCCCCC,667.0354398,479.87,197.34,242.89,285.36,321.82,378.86,420.93,486.31,1,9,2.197224577
38,C[CH1+]CCCCCCC,645.450091,518.81,224.63,274.67,321.58,362.1,425.89,473.07,546.31,1,9,2.197224577
39,C=[C+]CC,950.5966403,308.35,90.64,109.8,127,141.72,165.31,183.31,212.12,1,3,1.098612289
40,C=C([CH1+]C)CC=C,889.6503993,394.06,141.08,178.51,211.48,238.63,279.65,309.21,354.66,1,3,1.098612289
41,C=C(C)[CH1+]CC,780.7459427,374.9,126.45,160.2,190.91,216.78,256.67,285.81,330.88,1,9,2.197224577
42,C=C(C)[CH2+],898.9066403,280.13,79.62,100.41,119.34,135.54,161.13,180.27,210.45,1,6,1.791759469
43,C=C(CC)[CH2+],872.2812915,321.43,101.79,129.05,153.54,174.33,207.02,231.39,269.73,1,6,1.791759469
44,C=C(CCC)[CH2+],844.8959427,369.33,131.11,164.03,193.67,218.72,257.74,286.59,331.52,1,6,1.791759469
45,C=C[C+](C)C,788.3712915,332.62,99.89,126.46,150.95,171.99,205.21,229.93,268.5,1,18,2.890371758
46,C=C[C+](C)C=C,867.0657481,359.55,118.36,146.66,172.54,194.63,229.24,254.81,294.44,1,6,1.791759469
47,C=C[C+](C)CC,762.8159427,374.53,126.63,157.91,186.88,211.88,251.63,281.45,328.23,1,9,2.197224577
48,C=C[C+](C=C)C=C,960.4002047,368.27,132.2,166.02,196.07,220.87,257.82,283.62,321.55,1,6,1.791759469
