,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
1,[H]C([H])([H])C(=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-128.92996,466.22312,209.15816,259.11512,304.63704,343.96664,406.6848,453.58744,526.68192,1,81,4.394449155
2,[H]C([H])([H])C([H])([H])C(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-240.429376,428.19056,233.17432,301.0388,351.91624,390.3672,448.39928,492.83336,565.886,1,972,6.879355804
3,[H]C([H])([H])C(=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-129.921568,469.98872,209.15816,257.44152,302.54504,341.8328,404.71832,451.872,525.5104,1,81,4.394449155
4,[H]C([H])=C([H])C(C([H])=C([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],9.388896,433.54608,204.05368,254.76376,298.9468,336.01704,393.33784,434.88496,497.64496,1,18,2.890371758
5,[H]C([H])([H])/C(=C(\C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-134.01352,465.17712,197.65216,250.8308,299.28152,340.74496,405.848,453.79664,527.3932,1,243,5.493061443
6,[H]C([H])([H])C([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-257.843184,491.36896,272.1692,346.30968,410.32488,462.70856,542.0372,599.73456,689.35584,1,6561,8.788898309
7,[H]C([H])([H])/C(=C(\C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-108.060168,436.30752,172.50632,217.7772,259.91008,296.47824,354.67768,397.98208,465.0516,1,162,5.087596335
8,[H]C([H])([H])C(=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-108.725424,433.62976,182.79896,225.936,266.18608,301.28984,357.5228,399.69752,465.59552,1,162,5.087596335
9,[H]C([H])=C([H])/C(=C(\[H])C([H])([H])[H])C([H])([H])[H],47.685048,349.28032,121.41968,154.72432,184.26336,208.44688,244.764,270.95584,311.74984,1,9,2.197224577
10,[H]C([H])=C([H])C(C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],265.784416,395.97376,176.52296,223.17456,261.54184,292.00136,337.06304,369.32168,419.27864,1,12,2.48490665
