,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
5,[C]#CC#CC#C,1012.252358,311.16408,95.14416,106.52464,114.76712,121.25232,131.12656,138.15568,148.532,1,1,0
4,[C]#CC#C,795.763382,265.60032,63.93152,70.9188,76.06512,80.20728,86.52512,91.16936,98.19848,1,1,0
242,C#C[C](C#CC)C#CC,706.33695,434.25736,155.854,184.68176,209.15816,229.78528,262.25312,286.31112,323.38136,1,18,2.890371758
416,CC#C[C](C#CC)C#CC,660.645526,479.02616,173.13392,206.64776,236.6052,262.46232,303.7584,334.42712,381.41344,1,162,5.087596335
6,[C]#CC=C,620.433802,283.54968,66.56744,79.03576,89.78864,98.7424,112.42408,122.29832,137.27704,1,1,0
10,[CH]=C/C=C/C#C,590.22671,330.41048,109.6208,134.3064,153.05072,167.31816,187.73608,201.96168,223.50928,1,1,0
13,[CH]=C/C=C\C#C,588.272782,328.06744,106.73384,132.08888,151.62816,166.64872,187.98712,202.58928,224.13688,1,1,0
1,[C]#C/C=C/C,576.26117,322.25168,88.99368,105.89704,121.50336,134.97584,156.23056,171.87872,195.89488,1,3,1.098612289
2,[C]#C/C=C\C,574.382554,320.45256,87.864,105.35312,121.21048,134.76664,156.14688,171.83688,195.8112,1,3,1.098612289
260,C#C[CH]C#C,568.465438,302.0848,89.87232,104.85104,115.6876,124.0556,136.6076,145.89608,160.79112,1,2,0.693147181
270,C#CC#C[CH2],560.013758,300.66224,90.62544,104.43264,114.8508,123.13512,136.02184,145.6032,160.8748,1,1,0
12,[CH]=C/C=C/C=C=C,550.893214,357.5228,132.38176,165.85376,191.8364,211.58488,239.49216,258.52936,286.56216,1,1,0
16,[CH]=CC#C,540.515218,282.0016,72.04848,85.31176,95.31152,103.1356,114.89264,123.6372,137.56992,1,1,0
17,[CH]=CC#C,540.427354,282.88024,71.5464,84.80968,94.89312,102.80088,114.6416,123.428,137.40256,1,1,0
246,C#C[C](C)C#C,531.171302,341.07968,109.07688,129.66216,145.97976,159.28488,179.78648,195.01624,219.0324,1,6,1.791759469
3,[C]#CC,528.993134,259.91008,51.96528,60.8772,69.28704,76.60904,88.2824,96.98512,110.41576,1,3,1.098612289
24,[CH]=CCC#C,524.823074,323.4232,94.22368,113.1772,128.49064,140.87528,159.91248,174.09624,196.4388,1,1,0
261,C#C[CH]C#CC,522.359798,351.99992,107.06856,126.7752,143.13464,156.73264,178.11288,194.01208,218.78136,1,3,1.098612289
23,[CH]=CCC#C,522.16205,325.26416,92.84296,112.1312,127.69568,140.24768,159.49408,173.76152,196.27144,1,1,0
7,[C]#CCC,511.275934,304.5952,72.71792,88.11504,102.13144,114.18136,133.2604,147.40232,169.32648,1,3,1.098612289
241,C#C[C](C#C)CC,508.939566,382.4176,131.04288,158.11336,180.1212,198.07056,225.7268,246.18656,278.31968,1,6,1.791759469
262,C#C[CH]C#CCC,502.743062,395.26248,128.4488,154.89168,176.9832,195.26728,223.76032,244.93136,277.94312,1,1,0
21,[CH]=CC=C=C,496.663002,308.73736,93.9308,116.81728,134.59928,148.1136,167.10896,180.16304,200.12072,1,1,0
19,[CH]=CC#CC,496.279826,323.96712,89.78864,107.69616,123.09328,136.06368,156.52344,171.79504,195.602,1,3,1.098612289
18,[CH]=CC#CC,496.07481,325.18048,89.20288,107.1104,122.63304,135.68712,156.2724,171.58584,195.43464,1,3,1.098612289
255,C#C[C]=C,492.536394,289.78384,78.53368,89.1192,97.61272,104.6,115.72944,124.22296,137.94648,1,1,0
