inchi,smiles,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8
"InChI=1/C6H6/c1-3-5-6-4-2/h1-2H,5-6H2",[H]C#CC([H])([H])C([H])([H])C#C[H],422.839224,330.20128,115.77128,138.44856,156.77448,171.62768,194.59784,211.79408,239.07376,424.704472724142,335.91244388909354,112.61510745755103,136.0556459262029,154.684319019081,170.2077225149598,193.25934907811057,210.3335656787479,237.85005412950153
"InChI=1/C7H10/c1-3-5-7-6-4-2/h3-7H,1H2,2H3/b6-4-,7-5+",[H]C([H])=C([H])/C([H])=C([H])/C([H])=C(/[H])C([H])([H])[H],136.791696,367.27152,133.63696,172.96656,207.77744,235.72656,275.34904,301.83376,340.70312,138.64591091143438,366.73034741629,134.79480663541798,174.00251076195627,208.56029921681088,235.974215804222,274.91345802021146,301.15132767304067,340.0647891998477
"InChI=1/C8H16/c1-5-7(3)8(4)6-2/h5-6H2,1-4H3/b8-7+",[H]C([H])([H])/C(=C(/C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-109.11872,436.3912,172.59,218.27928,260.41216,296.8548,354.8032,397.98208,464.96792,-110.36939619498867,436.6800116492877,172.27480343959408,218.02677056413978,260.5628223621054,296.9807182836976,354.67012156741913,397.00858234178656,464.17881384831384
"InChI=1/C8H8/c1-4-7-8(5-2)6-3/h2,6H,1,3H3/b8-6-",[H]C#C/C(C#CC([H])([H])[H])=C(\[H])C([H])([H])[H],455.608312,398.65152,143.13464,172.75736,198.40528,220.0784,254.26168,279.7004,319.2392,457.6207042467319,400.1085688636816,141.78629692143397,171.96238984674184,197.64701621377256,219.1417248609675,252.3191430248703,276.94750013656346,316.76127033613113
"InChI=1/C9H20/c1-5-9(6-2,7-3)8-4/h5-8H2,1-4H3",[H]C([H])([H])C([H])([H])C(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-240.429376,428.19056,233.17432,301.0388,351.91624,390.3672,448.39928,492.83336,565.886,-240.76274287215728,436.11247142383274,231.70670173158064,292.0466580412419,343.12497743450416,384.3845233624394,448.37277250647094,496.9431661702335,571.3342497787256
"InChI=1/C8H18/c1-4-6-8(3)7-5-2/h8H,4-7H2,1-3H3",[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-215.325376,457.60408,195.01624,243.46696,287.65,325.76624,386.51792,432.2072,503.71176,-217.41521147625446,458.6227047584558,196.1754525203052,243.81040586438138,287.87046945091345,325.90371232262976,385.8144585450526,430.74719907410156,502.0819547241885
"InChI=1/C8H14/c1-4-7-8(5-2)6-3/h5-6,8H,2-4,7H2,1H3",[H]C([H])=C([H])C([H])(C([H])=C([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],36.580712,441.11912,178.6568,219.40896,255.8516,286.93872,336.05888,372.83624,430.44992,35.552195341518015,437.68396587583584,177.61914399347862,218.81309112545762,255.54349620069726,286.60261235775425,335.63458818999857,372.0782093142827,430.50404031790623
"InChI=1/C7H8/c1-4-6-7(3)5-2/h5H,2-3H2,1H3",[H]C([H])=C([H])C(C#CC([H])([H])[H])=C([H])[H],305.189328,372.1668,128.53248,161.20952,188.11264,209.49288,241.12392,263.84304,299.11416,308.94817585645524,374.8054795284274,127.47640601873309,157.34429320857527,183.16828466118596,204.5140456773177,237.20609631747794,261.7801839969029,299.72501621391183
"InChI=1/C6H10/c1-3-5-6-4-2/h3,5-6H,1,4H2,2H3/b6-5+",[H]C([H])=C([H])/C([H])=C(\[H])C([H])([H])C([H])([H])[H],56.814536,357.77384,123.46984,157.19288,186.94112,211.25016,247.60912,273.54992,313.46528,57.37842506287339,355.8593289430162,122.42701171448675,156.36963966809031,186.70245676211658,211.3564635774999,247.9742496253674,274.0096081963529,313.88756135022965
"InChI=1/C7H16/c1-4-7(5-2)6-3/h7H,4-6H2,1-3H3",[H]C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-190.459864,409.1952,169.53568,211.7104,251.16552,285.39064,339.82448,380.49296,443.96424,-192.16453871820494,405.75057402016273,170.48757005009128,214.59648015504388,253.88195984020848,287.50585175802235,340.1161947065273,379.20380421752736,441.67371235437895
