inchi,smiles,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8
InChI=1/C4H3/c1-3-4-2/h1-3H,[CH]=CC#C,540.515218,282.0016,72.04848,85.31176,95.31152,103.1356,114.89264,123.6372,137.56992,541.1371603425205,281.6330063940117,72.86387661055161,85.4081939856228,95.27761304455925,103.22771483370269,114.62227923253579,123.61954129057278,137.27114181437742
"InChI=1/C4H7/c1-4(2)3/h1-2H2,3H3",[CH2]C(=C)C,132.005642,294.38624,82.2156,104.6,123.76272,139.62008,164.30568,182.71528,211.79408,132.9097721734748,293.70808061336464,82.4786195840654,104.9682613483213,123.13704595734967,138.9328745132641,164.83952148551714,180.25830350930448,211.46385440178176
"InChI=1/C4H5/c1-3-4-2/h1H2,2H3",[CH2]C#CC,304.322742,296.05984,79.03576,93.59608,106.65016,117.9888,136.27288,150.24744,172.3808,306.9696651307937,299.89288938797597,78.27295399073199,92.67803503355,106.06024687000479,117.18106054634757,134.31298879872014,149.61066294385455,168.85663395389912
"InChI=1/C9H15/c1-4-6-7-8-9(3)5-2/h4-5H,1-2,6-8H2,3H3",C=CCCC[C](C)C=C,135.603022,485.72056,188.02896,235.09896,276.93896,312.3356,367.60624,408.52576,472.20624,137.67869644748689,482.83080162809904,189.51338924189005,235.36856804433512,277.1135341354723,312.98006421713666,367.76145211118126,409.1295513454604,472.6755737849269
"InChI=1/C6H7/c1-3-5-6-4-2/h1,4-6H,2H3/b6-4+",C#C[CH]/C=C/C,343.52821,349.28032,114.80896,139.5364,160.83296,178.6568,206.31304,226.7728,258.5712,344.5613225325476,346.3304288934105,115.01738482135207,140.07246097660536,161.44510716346605,179.51255559602643,206.71823255197268,227.67605827760946,259.66145596653496
"InChI=1/C5H3/c1-3-5-4-2/h1-2,5H",C#C[CH]C#C,568.465438,302.0848,89.87232,104.85104,115.6876,124.0556,136.6076,145.89608,160.79112,568.6843687319924,301.8221385372405,90.19213622740344,104.45517404412328,115.58278021136377,124.31506698336102,136.50835575758504,146.33394561736753,161.14053679321108
"InChI=1/C11H21/c1-10(2)8-6-5-7-9-11(3)4/h1,5-9H2,2-4H3",C=C(C)CCCCC[C](C)C,16.700514,598.312,245.26608,302.54504,356.56048,403.67232,478.98432,535.42648,623.12312,17.363001338513186,590.8547315645582,245.04065168490735,302.7553500009119,356.9941707646662,404.72470621664684,479.1543766908874,536.2104055762994,624.2551279852217
"InChI=1/C8H17/c1-6-7(2)8(3,4)5/h7H,3,6H2,1-2,4-5H3/t7-/m0/s1",[CH2]C(C)(C)[C@@H](C)CC,-18.599138,440.5752,197.65216,245.51712,287.2316,322.41904,377.94072,419.6552,485.38584,-19.69719521501574,445.74389105223867,197.51820634518774,245.44713404505043,286.82986337639676,321.83920658024385,377.0916432242869,418.72650520910383,484.6227846474293
"InChI=1/C10H21/c1-6-10(4,5)8-7-9(2)3/h6,9H,7-8H2,1-5H3",C[CH]C(C)(C)CCC(C)C,-81.13749,535.9704,242.33728,302.33584,355.47264,400.24144,470.40712,522.7908,604.92272,-80.89572674270804,529.891602248067,242.94831480902448,302.51032021412857,355.4758407779958,400.51312962812,470.1234120567274,523.2534904993116,606.5347158061592
"InChI=1/C7H13/c1-5-6-7(2,3)4/h5H,1-2,6H2,3-4H3",[CH2]C(C)(C)CC=C,123.656314,410.15752,160.83296,200.6228,234.84792,263.04808,306.39432,338.4856,389.07016,124.85123845571806,407.30179990541546,161.52274051442282,200.5083499027744,234.0179153346297,262.19635703599135,305.34311834658445,338.27831736183145,389.22542794883714
